src_file,leaf,table,frame_len,frame_hex,anchor_off,anchor_sec_le,anchor_iso,signed16_be@20,signed16_be@22,frame_number,tcp_stream
S4B_Table2.tsv,S4B,2,27,bda0016ffd100d0ffd091c00000500033f980000000100005b83bd,12,50332928,1991-08-06T13:22:08+00:00,,,1,0
S4B_Table2.tsv,S4B,2,68,bdaffd00011ffd200d891c00000300000344000143086cc0414c91613e6c82a13f2e1ba541c1fee43ea9d00f3f9a55e341c60f663eae08ab3fb0d83e41c2a755006983bd,24,1636912193,2041-11-14T17:49:53+00:00,,,3,0
S4B_Table2.tsv,S4B,2,31,bda0016ffd100d0ffd091d00000600033f9800000333000003440000c31ebd,12,50333184,1991-08-06T13:26:24+00:00,819,0,4,0
S4B_Table2.tsv,S4B,2,246,bdaffd00011ffd200d891d00000300000333000542fd3800414f2c6b3eb13b303fa2a9c441c51ad13eafbfd23f9cc0f541b76cda3ec076a13fc035ef41b49ba042fde0c0414d5fae3eac7f1f3f98d20e41b2e50a3eafac7c3f9ce1ba41b8d3c33ec058363fbf93f341b7bf2942fe8980414ee7a73eae05373fa009fe41c965153eaf31f03f9d46f841b9ecda3ebf962f3fbe579041b5ed4942ff3240414cee383ea918b93f9574e141b5f3923eaf221a3f9d816441bb95b63ebf0f583fbfe85b41b9aa3942ffdb00414f3a2b3ea8e8703f98ecf441c545183eae8f1f3f9c982f41ba2dd13ebcddf8753fbcddada841b745830152a2bd,24,1798065985,2046-12-23T22:46:25+00:00,,,6,0
S4B_Table2.tsv,S4B,2,31,bda0016ffd100d0ffd091e00000600033f980000033800000344000007d2bd,12,50333184,1991-08-06T13:26:24+00:00,824,0,7,0
S4B_Table2.tsv,S4B,2,251,bdaffd00011ffd200d891e000003000003380005430083c0414d366c3ea592153f922b2f41b958033eae920c3f9cdfc841bbba103ebcdd945f3fbe22b341b9ad7343012c80414f3a2b3ea38c403f91dd0041c410cd3eae26be3f9c787841bbbcdc2b3ebcdca20b3fbcdc700d41b89d774301d540414dbcdc843e9fb3373f8bc41f41b7af333eae67193f9bdd2141bb2a333ebb55983fbbcd6841b9f76e43027e00414f221a3e9f5fdf3f8d6a8241ccc1173eaeace63f9cc8c641bcddb84b3eb965033fba106641b8fc21430326c0414d8c613e99f3893f85429c41be4f803eaee17c3f9d9eb041c0d6bf3eb8b4253fbb053d41bcdd361f01ed4abd,24,1815498049,2047-07-13T17:00:49+00:00,,,9,0
S4B_Table2.tsv,S4B,2,31,bda0016ffd100d0ffd091f00000600033f980000033d00000344000056dfbd,12,50333184,1991-08-06T13:26:24+00:00,829,0,10,0
S4B_Table2.tsv,S4B,2,247,bdaffd00011ffd200d891f0000030000033d00054303cf80414e127a3e9846263f817aff41cf57773eae40c83f9d5c2d41c17a463eb71e843fb92db041bcdc436543047840414d4e7d3e91de103f6f349841bbd2943eade6793f9cc80a41c186923eb642323fb92a8b41bf36d043052100414eb7833e8f27413f677e5841ce82a13ead2c693f9c6a8041c121fd3eb4734b3fb66fd841bcdcce904305c9c0414cbaa43e883c953f55b84a41badf653eacf8963f9c832f41c193ec3eb378fb3fb660fa41bfb6b943067280414ecf963e84dcb73f4e87ca41cfa0833eac07503f9b7d1241c14e4b3eb185883fb3417241bcdd18a5016979bd,24,2048020033,2054-11-24T22:27:13+00:00,,,12,0
S4B_Table2.tsv,S4B,2,31,bda0016ffd100d0ffd092000000600033f9800000342000003440000e983bd,12,50333184,1991-08-06T13:26:24+00:00,834,0,13,0
S4B_Table2.tsv,S4B,2,113,bdaffd00011ffd200d892000000300000342000243071b40414d442c3e7e3cbcdd3f40563f41be42c63eaba67f3f9b991941c383323eb0acf83fb39d9541c0c8de4307c400414ee0c63e76f31a3f3995ec41d244e93eaa10093f9a2b9a41c391b53eaed1dd3fb0934541bec4810008edbd,32,1447051229,2035-11-09T06:40:29+00:00,,,15,0
